fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,SO2(free),SO2(Total),density,pH,sulphates,alcohol,quality
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6
11.9,0.57,0.5,2.6,0.082,6,32,1.0006,3.12,0.78,10.7,6
7,0.685,0,1.9,0.067,40,63,0.9979,3.6,0.81,9.9,5
6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,7
13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,6
9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,6
9.1,0.785,0,2.6,0.093,11,28,0.9994,3.36,0.86,9.4,6
10.7,0.67,0.22,2.7,0.107,17,34,1.0004,3.28,0.98,9.9,6
9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,6
7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,5
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5
